time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,train/n_updates,train/actor_loss,train/ent_coef_loss,train/ent_coef,train/critic_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
171,191,32730,79.01,492,83.05096181000003,22725,-79.7881591796875,-0.95517298579216,0.03516748249530792,15.965662956237793,0.0003,,
170,194,33165,79.97,496,81.89105181999999,23160,-80.93135223388671,0.6968891024589539,0.0350500576198101,15.969231033325196,0.0003,,
169,196,33415,80.83,500,78.51584716,23410,-80.60625610351562,0.7430227994918823,0.034601281583309176,16.778483963012697,0.0003,,
168,200,33835,81.57,504,74.99442597,23830,-80.06484985351562,0.1126772403717041,0.034685926884412764,16.50795974731445,0.0003,,
168,202,34150,82.0,508,70.88972321,24145,-80.4001449584961,-1.0736228108406067,0.03455052301287651,18.07977294921875,0.0003,,
167,206,34600,81.93,512,68.69100504,24595,-78.27359313964844,1.2537959814071655,0.03351055458188057,16.65352020263672,0.0003,,
166,210,35035,81.94,516,68.41264343,25030,-78.71095733642578,0.5505585253238678,0.033105545490980146,17.266094207763672,0.0003,,
165,213,35460,83.15,520,70.3857873,25455,-78.23692169189454,-1.1317842215299607,0.03287171199917793,17.232738876342772,0.0003,,
165,216,35810,83.1,524,71.16142781,25805,-78.76316986083984,-0.6710696816444397,0.03259235844016075,17.65545082092285,0.0003,,
164,220,36225,83.39,528,71.30054227,26220,-75.81171875,-0.7148584604263306,0.03228328749537468,17.81525764465332,0.0003,,
163,224,36705,82.71,532,70.58168753000001,26700,-79.8482666015625,0.38288113474845886,0.03202674016356468,17.99310188293457,0.0003,,
163,227,37080,84.56,536,72.72976735,27075,-76.63424072265624,0.437896728515625,0.03173276409506798,17.868650436401367,0.0003,,
162,230,37395,86.05,540,72.87114134,27390,-75.36669006347657,0.2675188660621643,0.03108881860971451,17.63886241912842,0.0003,,
162,233,37770,86.51,544,71.5248792,27765,-76.55773620605468,-0.9050149619579315,0.031110377609729768,17.22506504058838,0.0003,,
161,234,38000,87.29,548,72.48940422000001,27995,-74.85170288085938,2.151747131347656,0.03095117546617985,17.68198165893555,0.0003,,
161,239,38495,87.21,552,71.49835703999999,28490,-77.12935180664063,-0.17105763554573059,0.030896131694316865,17.391690826416017,0.0003,,
160,239,38585,88.49,556,73.82859014,28580,-77.10495147705078,0.4021468460559845,0.03084661141037941,17.005721855163575,0.0003,,
160,242,38865,88.33,560,74.54160306,28860,-75.55177307128906,-0.45955891609191896,0.031160837784409524,16.486637115478516,0.0003,,
160,245,39280,88.75,564,74.64520081999999,29275,-75.8139862060547,0.11879562735557556,0.031036832183599473,17.27375774383545,0.0003,,
159,247,39585,89.18,568,74.95670199999999,29580,-76.04443969726563,-0.2906432092189789,0.030647116526961327,17.73725357055664,0.0003,,
159,250,39970,89.59,572,76.61331268999999,29965,-75.2564910888672,-0.026336729526519775,0.030488423258066177,17.586278343200682,0.0003,,
159,252,40180,88.83,576,77.17082093,30175,-75.02519226074219,1.5553679019212723,0.030689797177910805,15.670003128051757,0.0003,,
158,255,40590,89.39,580,77.64734408000001,30585,-74.35298156738281,0.7692131280899048,0.030463868007063865,16.626450538635254,0.0003,,
158,258,40945,89.93,584,80.33071845999999,30940,-74.95736236572266,-0.08866764307022094,0.030577762797474862,15.409876823425293,0.0003,,
157,262,41335,89.31,588,81.46890834000001,31330,-74.18349151611328,0.6279439091682434,0.030879464372992514,14.846858596801757,0.0003,,
