#{"t_start": 1783133905.572226, "env_id": "None"}
r,l,t,rc_alive,rc_forward,rc_upright,rc_height,rc_single,rc_air,rc_ctrl,rc_action_rate,rc_torque,rc_slide,rc_lateral,rc_yaw_rate,rc_joint_vel,ep_speed,ep_dist,ep_pushes
-25.255023,53,3.142366,53.0,-47.18039982723297,14.233317692613348,16.61422346136953,0.0,-3.3399999999999994,-4.2721763467788705,-21.75484957695008,-8.305291463452596,-2.660390562547485,-5.135048094240253,-14.23775359215537,-2.216654462394637,-0.4542372069906148,-0.48149143941005174,0.0
-59.274517,49,3.202319,49.0,-66.89821151123161,12.740474689250375,15.511972144283298,0.0,-2.5199999999999996,-3.75061297416687,-18.104523479938507,-7.667060915504578,-3.1105389192449207,-8.639035465164225,-23.867551446833264,-1.9694289836636045,-0.4455556506842537,-0.4366445376705686,0.0
-35.066315,53,3.26589,53.0,-31.861547301279124,16.557816813292774,18.333266762848517,0.3,-3.3,-4.280009660720826,-21.663648426532742,-7.810832598196243,-2.542121832974347,-2.9419882627947964,-47.15566958925984,-1.7015804078048342,-0.23647021390071327,-0.2506584267347561,0.0
-5.410387,58,3.346597,58.0,-28.607078444589018,16.89023520190811,18.04786613826548,0.15,-3.13,-4.793204512596129,-23.937481248378752,-9.21383502605322,-3.3196075058166934,-3.736613530313149,-19.38487049707316,-2.375797952103692,-0.28449043478924585,-0.33000890435552516,0.0
-64.960656,65,3.433761,65.0,-59.41674314261554,17.889019395893822,20.52191631907221,0.3,-4.43,-5.230042412281039,-25.902069056034087,-10.485086968870874,-3.3129980786118933,-6.76992068259182,-50.61459176166043,-2.510139231664095,-0.30166582182301577,-0.3921655683699205,0.0
-22.727208,55,3.507055,55.0,-31.000791945055468,12.741122444665539,14.097273413999524,0.3,-2.57,-4.418103222846985,-22.665827429294584,-9.143895404643668,-2.6785795439431572,-3.314342257758881,-26.996671906664563,-2.0773919139317623,-0.4071301164088285,-0.4478431280497114,0.0
-38.095169,54,3.580114,54.0,-46.23106601309707,15.28750875087344,16.135939003219466,0.9,-2.53,-4.325263870954513,-22.05637339353561,-8.519530826997846,-2.1423353810499677,-6.575375639381423,-29.96359176160232,-2.0750794885294117,-0.2994997711368714,-0.3234597528278211,0.0
-44.038341,52,3.649666,52.0,-58.52764128727196,15.918139623868413,17.01518085806791,0.15,-3.1399999999999997,-4.354315013885499,-21.44291708469391,-8.260781290913872,-2.449059120519039,-7.221922003936966,-21.631115093095996,-2.0939109445452786,-0.48320115311318845,-0.502529199237716,0.0
-24.936068,46,3.712192,46.0,-34.53390246156072,12.966716249432922,15.363543910217448,0.3,-3.34,-3.6457396960258484,-17.27160221338272,-7.129896812838214,-2.536874149785125,-4.497051326561831,-24.575226595230223,-2.036034584152957,-0.3189581133554929,-0.2934414642870535,0.0
-17.547872,57,3.790581,57.0,-36.95390302514113,15.131097740562172,16.933079920441244,0.0,-2.33,-4.637798237800598,-23.109048032760626,-9.10122474361377,-2.7442103776859397,-4.892902638947354,-21.147354306603994,-1.6956086851569907,-0.3464704110198885,-0.3949762685626729,0.0
